,Player,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER
1336,Craig Neal,12.5,1.4,3.5,0.4,0.3,0.9,0.333,1.1,2.6,0.423,0.443,1.3,2.2,0.591,0.2,1.4,1.6,3.7,0.4,0,1.9,2.6,4.4,17.99
1337,Donnell Harvey,13.31111111,1.677777778,3.5,0.540555556,0,0.033333333,0.015888889,1.677777778,3.466666667,0.543333333,0.540666667,1.044444444,1.566666667,0.660444444,1.088888889,2.311111111,3.4,0.555555556,0.388888889,0.411111111,0.733333333,1.933333333,4.4,19.20111111
1338,Ben Coleman,11.25,1.7,3.6,0.477,0,0,0,1.7,3.6,0.4795,0.477,0.95,1.4,0.6645,1.25,2.15,3.45,0.25,0.25,0.25,1,1.75,4.4,19.065
1339,Alec Kessler,11.6,1.7,3.95,0.43625,0.1,0.25,0.25275,1.6,3.7,0.42125,0.4665,0.9,1.225,0.75125,0.975,1.875,2.85,0.325,0.15,0.275,0.75,1.825,4.4,18.95
1340,Andrew Harrison,13.48333333,1.4,3.95,0.351166667,0.383333333,1.716666667,0.2035,1.016666667,2.216666667,0.513833333,0.398333333,1.183333333,1.416666667,0.6645,0.3,0.983333333,1.283333333,1.716666667,0.333333333,0.183333333,0.766666667,2,4.4,15.75333333
1341,Tony Farmer,11.25,1.15,3.1,0.364,0.1,0.45,0.202,1.1,2.6,0.3925,0.38,1.9,2.5,0.7805,1.1,1.5,2.6,0.6,0.65,0.15,0.7,1.6,4.4,22.335
1342,Jarrod Uthoff,12.8,1.8,4.2,0.421,0.3,1,0.333,1.4,3.2,0.448,0.461,0.6,0.8,0.714,0.9,1.6,2.4,1,0.2,0.4,0.3,0.9,4.4,22.19
1343,Acie Earl,10.9,1.6,4.066666667,0.384666667,0,0.05,0,1.6,4.016666667,0.3895,0.384666667,1.233333333,1.85,0.643833333,0.783333333,1.45,2.216666667,0.333333333,0.3,0.55,0.75,1.483333333,4.4,21.56833333
1344,Will Perdue,14.89166667,1.8,3.425,0.523,0,0.008333333,0.041666667,1.8,3.408333333,0.525,0.523166667,0.816666667,1.441666667,0.576416667,1.675,3.033333333,4.725,0.716666667,0.275,0.633333333,0.95,1.891666667,4.391666667,18.70416667
1345,Mitchell Butler,13.525,1.6625,3.8625,0.423375,0.2375,0.75,0.262125,1.425,3.1,0.453125,0.4535,0.825,1.3125,0.634,0.5875,1.15,1.725,0.8625,0.4875,0.1125,0.8375,1.425,4.3875,15.92375
